"","groups"
"ENSG00000106772",2
"ENSG00000106780",2
"ENSG00000106785",2
"ENSG00000106789",2
"ENSG00000106799",1
"ENSG00000106803",3
"ENSG00000106804",1
"ENSG00000106809",3
"ENSG00000106819",1
"ENSG00000106823",2
"ENSG00000106829",2
"ENSG00000106852",2
"ENSG00000106853",1
"ENSG00000106868",2
"ENSG00000106927",4
"ENSG00000106948",2
"ENSG00000106952",2
"ENSG00000106976",1
"ENSG00000106991",1
"ENSG00000106992",2
"ENSG00000106993",2
"ENSG00000107014",2
"ENSG00000107018",2
"ENSG00000107020",2
"ENSG00000107021",2
"ENSG00000107036",2
"ENSG00000107077",2
"ENSG00000107099",2
"ENSG00000107104",2
"ENSG00000107105",2
"ENSG00000107130",1
"ENSG00000107140",2
"ENSG00000107147",2
"ENSG00000107159",2
"ENSG00000107164",2
"ENSG00000107165",2
"ENSG00000107175",1
"ENSG00000107185",2
"ENSG00000107186",2
"ENSG00000107187",2
"ENSG00000107201",2
"ENSG00000107223",3
"ENSG00000107242",2
"ENSG00000107249",2
"ENSG00000107262",2
"ENSG00000107263",1
"ENSG00000107281",1
"ENSG00000107282",2
"ENSG00000107290",2
"ENSG00000107295",1
"ENSG00000107317",3
"ENSG00000107331",2
"ENSG00000107338",2
"ENSG00000107341",1
"ENSG00000107362",2
"ENSG00000107371",2
"ENSG00000107372",1
"ENSG00000107404",1
"ENSG00000107438",1
"ENSG00000107443",2
"ENSG00000107447",2
"ENSG00000107485",2
"ENSG00000107518",2
"ENSG00000107521",1
"ENSG00000107537",1
"ENSG00000107551",2
"ENSG00000107554",2
"ENSG00000107560",2
"ENSG00000107562",1
"ENSG00000107566",2
"ENSG00000107581",1
"ENSG00000107593",2
"ENSG00000107611",2
"ENSG00000107614",2
"ENSG00000107625",1
"ENSG00000107643",2
"ENSG00000107651",2
"ENSG00000107669",2
"ENSG00000107672",2
"ENSG00000107679",2
"ENSG00000107719",2
"ENSG00000107731",2
"ENSG00000107736",2
"ENSG00000107738",2
"ENSG00000107742",1
"ENSG00000107745",1
"ENSG00000107758",1
"ENSG00000107771",2
"ENSG00000107779",2
"ENSG00000107789",1
"ENSG00000107796",3
"ENSG00000107798",2
"ENSG00000107807",2
"ENSG00000107815",2
"ENSG00000107816",2
"ENSG00000107819",1
"ENSG00000107821",2
"ENSG00000107829",2
"ENSG00000107831",2
"ENSG00000107833",1
"ENSG00000107854",1
"ENSG00000107859",2
"ENSG00000107862",1
"ENSG00000107863",1
"ENSG00000107864",2
"ENSG00000107872",2
"ENSG00000107874",1
"ENSG00000107882",2
"ENSG00000107890",2
"ENSG00000107897",2
"ENSG00000107902",2
"ENSG00000107929",2
"ENSG00000107937",2
"ENSG00000107938",2
"ENSG00000107949",1
"ENSG00000107951",2
"ENSG00000107954",2
"ENSG00000107957",1
"ENSG00000107959",2
"ENSG00000107960",2
"ENSG00000107968",2
"ENSG00000107984",2
"ENSG00000108001",1
"ENSG00000108010",1
"ENSG00000108018",2
"ENSG00000108021",2
"ENSG00000108039",2
"ENSG00000108055",1
"ENSG00000108061",1
"ENSG00000108064",2
"ENSG00000108091",2
"ENSG00000108094",2
"ENSG00000108100",2
"ENSG00000108106",1
"ENSG00000108107",3
"ENSG00000108175",1
"ENSG00000108176",2
"ENSG00000108179",1
"ENSG00000108187",1
"ENSG00000108219",2
"ENSG00000108231",2
"ENSG00000108239",2
"ENSG00000108242",2
"ENSG00000108244",2
"ENSG00000108255",2
"ENSG00000108256",2
"ENSG00000108262",1
"ENSG00000108298",4
"ENSG00000108306",2
"ENSG00000108309",1
"ENSG00000108312",1
"ENSG00000108342",2
"ENSG00000108344",1
"ENSG00000108349",1
"ENSG00000108352",2
"ENSG00000108370",2
"ENSG00000108375",2
"ENSG00000108379",2
"ENSG00000108381",2
"ENSG00000108384",2
"ENSG00000108387",2
"ENSG00000108389",1
"ENSG00000108395",1
"ENSG00000108405",2
"ENSG00000108406",2
"ENSG00000108417",2
"ENSG00000108423",2
"ENSG00000108424",1
"ENSG00000108433",2
"ENSG00000108439",2
"ENSG00000108443",2
"ENSG00000108448",2
"ENSG00000108465",1
"ENSG00000108468",1
"ENSG00000108469",2
"ENSG00000108474",2
"ENSG00000108479",2
"ENSG00000108506",2
"ENSG00000108509",1
"ENSG00000108510",2
"ENSG00000108511",2
"ENSG00000108515",1
"ENSG00000108518",3
"ENSG00000108523",1
"ENSG00000108528",1
"ENSG00000108551",1
"ENSG00000108556",2
"ENSG00000108557",2
"ENSG00000108559",2
"ENSG00000108561",1
"ENSG00000108576",2
"ENSG00000108578",2
"ENSG00000108582",2
"ENSG00000108587",2
"ENSG00000108588",1
"ENSG00000108590",2
"ENSG00000108591",2
"ENSG00000108592",2
"ENSG00000108599",2
"ENSG00000108602",2
"ENSG00000108604",1
"ENSG00000108622",2
"ENSG00000108639",1
"ENSG00000108641",2
"ENSG00000108651",2
"ENSG00000108654",3
"ENSG00000108666",2
"ENSG00000108669",2
"ENSG00000108671",2
"ENSG00000108679",3
"ENSG00000108684",2
"ENSG00000108688",2
"ENSG00000108691",2
"ENSG00000108700",2
"ENSG00000108702",2
"ENSG00000108733",2
"ENSG00000108759",2
"ENSG00000108771",2
"ENSG00000108773",1
"ENSG00000108774",2
"ENSG00000108784",2
"ENSG00000108786",2
"ENSG00000108788",2
"ENSG00000108797",1
"ENSG00000108798",2
"ENSG00000108799",2
"ENSG00000108813",2
"ENSG00000108819",1
"ENSG00000108821",3
"ENSG00000108823",1
"ENSG00000108826",1
"ENSG00000108828",1
"ENSG00000108829",1
"ENSG00000108830",2
"ENSG00000108839",2
"ENSG00000108840",1
"ENSG00000108846",2
"ENSG00000108848",3
"ENSG00000108849",2
"ENSG00000108852",2
"ENSG00000108854",2
"ENSG00000108861",1
"ENSG00000108878",2
"ENSG00000108883",2
"ENSG00000108924",2
"ENSG00000108932",2
"ENSG00000108946",3
"ENSG00000108947",1
"ENSG00000108950",2
"ENSG00000108953",3
"ENSG00000108960",1
"ENSG00000108961",2
"ENSG00000108963",2
"ENSG00000108984",2
"ENSG00000109016",2
"ENSG00000109046",3
"ENSG00000109047",2
"ENSG00000109061",2
"ENSG00000109062",1
"ENSG00000109063",2
"ENSG00000109065",2
"ENSG00000109066",2
"ENSG00000109072",4
"ENSG00000109079",1
"ENSG00000109083",2
"ENSG00000109084",1
"ENSG00000109089",2
"ENSG00000109099",1
"ENSG00000109101",2
"ENSG00000109103",2
"ENSG00000109107",3
"ENSG00000109111",2
"ENSG00000109113",1
"ENSG00000109118",2
"ENSG00000109132",2
"ENSG00000109133",2
"ENSG00000109158",2
"ENSG00000109163",2
"ENSG00000109171",2
"ENSG00000109180",1
"ENSG00000109181",3
"ENSG00000109182",2
"ENSG00000109184",2
"ENSG00000109189",2
"ENSG00000109193",3
"ENSG00000109205",2
"ENSG00000109208",2
"ENSG00000109220",2
"ENSG00000109255",2
"ENSG00000109265",2
"ENSG00000109270",1
"ENSG00000109272",2
"ENSG00000109320",2
"ENSG00000109321",2
"ENSG00000109323",2
"ENSG00000109332",1
"ENSG00000109339",2
"ENSG00000109381",2
"ENSG00000109390",1
"ENSG00000109424",2
"ENSG00000109436",1
"ENSG00000109445",1
"ENSG00000109452",2
"ENSG00000109458",2
"ENSG00000109466",2
"ENSG00000109471",2
"ENSG00000109472",3
"ENSG00000109475",3
"ENSG00000109501",2
"ENSG00000109511",2
"ENSG00000109519",2
"ENSG00000109534",2
"ENSG00000109536",1
"ENSG00000109572",2
"ENSG00000109576",2
"ENSG00000109586",2
"ENSG00000109606",1
"ENSG00000109610",2
"ENSG00000109618",2
"ENSG00000109625",2
"ENSG00000109654",1
"ENSG00000109667",2
"ENSG00000109670",2
"ENSG00000109674",2
"ENSG00000109680",2
"ENSG00000109684",2
"ENSG00000109685",1
"ENSG00000109686",2
"ENSG00000109689",2
"ENSG00000109705",2
"ENSG00000109736",1
"ENSG00000109738",2
"ENSG00000109743",2
"ENSG00000109756",2
"ENSG00000109758",1
"ENSG00000109762",2
"ENSG00000109771",2
"ENSG00000109775",2
"ENSG00000109787",1
"ENSG00000109790",2
"ENSG00000109794",2
"ENSG00000109805",1
"ENSG00000109814",1
"ENSG00000109819",2
"ENSG00000109832",2
"ENSG00000109846",3
"ENSG00000109851",2
"ENSG00000109854",2
"ENSG00000109861",2
"ENSG00000109881",2
"ENSG00000109906",2
"ENSG00000109911",2
"ENSG00000109917",2
"ENSG00000109919",1
"ENSG00000109920",1
"ENSG00000109927",2
"ENSG00000109929",2
"ENSG00000109943",1
"ENSG00000109944",2
"ENSG00000109956",1
"ENSG00000109971",3
"ENSG00000109991",2
"ENSG00000110002",2
"ENSG00000110011",2
"ENSG00000110013",2
"ENSG00000110025",2
"ENSG00000110031",2
"ENSG00000110042",1
"ENSG00000110046",2
"ENSG00000110047",2
"ENSG00000110048",1
"ENSG00000110057",2
"ENSG00000110060",2
"ENSG00000110063",2
"ENSG00000110066",2
"ENSG00000110074",2
"ENSG00000110075",2
"ENSG00000110076",1
"ENSG00000110077",2
"ENSG00000110079",2
"ENSG00000110080",1
"ENSG00000110090",1
"ENSG00000110092",1
"ENSG00000110104",2
"ENSG00000110107",3
"ENSG00000110108",1
"ENSG00000110148",2
"ENSG00000110169",3
"ENSG00000110171",2
"ENSG00000110172",2
"ENSG00000110195",2
"ENSG00000110200",2
"ENSG00000110203",2
"ENSG00000110218",2
"ENSG00000110237",2
"ENSG00000110243",3
"ENSG00000110244",3
"ENSG00000110245",4
"ENSG00000110274",2
"ENSG00000110315",2
"ENSG00000110318",2
"ENSG00000110321",3
"ENSG00000110324",2
"ENSG00000110328",2
"ENSG00000110330",1
"ENSG00000110344",2
"ENSG00000110367",1
"ENSG00000110375",2
"ENSG00000110395",2
"ENSG00000110400",2
"ENSG00000110422",1
"ENSG00000110427",2
"ENSG00000110429",2
"ENSG00000110435",1
"ENSG00000110436",1
"ENSG00000110442",2
"ENSG00000110446",2
"ENSG00000110448",2
"ENSG00000110455",2
"ENSG00000110484",2
"ENSG00000110492",3
"ENSG00000110497",2
"ENSG00000110514",1
"ENSG00000110536",2
"ENSG00000110583",1
"ENSG00000110619",2
"ENSG00000110628",2
"ENSG00000110651",1
"ENSG00000110660",2
"ENSG00000110665",2
"ENSG00000110675",2
"ENSG00000110680",2
"ENSG00000110693",2
"ENSG00000110696",1
"ENSG00000110697",2
"ENSG00000110700",3
"ENSG00000110711",1
"ENSG00000110713",2
"ENSG00000110717",1
"ENSG00000110719",2
"ENSG00000110721",1
"ENSG00000110723",2
"ENSG00000110756",2
"ENSG00000110768",2
"ENSG00000110777",2
"ENSG00000110786",2
"ENSG00000110799",2
"ENSG00000110801",2
"ENSG00000110811",2
"ENSG00000110841",2
"ENSG00000110844",2
"ENSG00000110848",2
"ENSG00000110851",2
"ENSG00000110852",2
"ENSG00000110871",1
"ENSG00000110876",2
"ENSG00000110880",1
"ENSG00000110881",2
"ENSG00000110887",2
"ENSG00000110888",2
"ENSG00000110900",2
"ENSG00000110906",2
"ENSG00000110911",2
"ENSG00000110917",1
"ENSG00000110921",2
"ENSG00000110925",1
"ENSG00000110931",1
"ENSG00000110934",2
"ENSG00000110944",2
"ENSG00000110955",4
"ENSG00000110958",3
"ENSG00000110975",2
"ENSG00000110987",2
"ENSG00000111011",1
"ENSG00000111012",2
"ENSG00000111046",2
"ENSG00000111049",2
"ENSG00000111052",2
"ENSG00000111057",3
"ENSG00000111058",2
"ENSG00000111077",2
"ENSG00000111087",2
"ENSG00000111110",2
"ENSG00000111142",1
"ENSG00000111144",2
"ENSG00000111145",1
"ENSG00000111181",2
"ENSG00000111186",2
"ENSG00000111196",2
"ENSG00000111199",2
"ENSG00000111203",2
"ENSG00000111206",1
"ENSG00000111215",2
"ENSG00000111218",2
"ENSG00000111224",2
"ENSG00000111229",1
"ENSG00000111231",2
"ENSG00000111237",1
"ENSG00000111241",2
"ENSG00000111245",4
"ENSG00000111247",2
"ENSG00000111249",2
"ENSG00000111252",2
"ENSG00000111254",2
"ENSG00000111261",2
"ENSG00000111262",2
"ENSG00000111266",2
"ENSG00000111269",2
"ENSG00000111271",2
"ENSG00000111275",3
"ENSG00000111276",1
"ENSG00000111291",2
"ENSG00000111300",2
"ENSG00000111305",2
"ENSG00000111319",1
"ENSG00000111321",2
"ENSG00000111325",2
"ENSG00000111328",2
"ENSG00000111331",2
"ENSG00000111335",2
"ENSG00000111339",2
"ENSG00000111341",3
"ENSG00000111344",2
"ENSG00000111348",1
"ENSG00000111358",2
"ENSG00000111361",2
"ENSG00000111364",2
"ENSG00000111371",1
"ENSG00000111404",2
"ENSG00000111405",2
"ENSG00000111412",2
"ENSG00000111424",2
"ENSG00000111432",2
"ENSG00000111445",2
"ENSG00000111450",2
"ENSG00000111452",2
"ENSG00000111481",1
"ENSG00000111490",2
"ENSG00000111530",1
"ENSG00000111536",2
"ENSG00000111537",2
"ENSG00000111540",2
"ENSG00000111554",2
"ENSG00000111581",2
"ENSG00000111596",2
"ENSG00000111602",1
"ENSG00000111605",1
"ENSG00000111615",2
"ENSG00000111639",3
"ENSG00000111640",4
"ENSG00000111641",2
"ENSG00000111642",1
"ENSG00000111644",2
"ENSG00000111647",2
"ENSG00000111652",1
"ENSG00000111653",1
"ENSG00000111664",2
"ENSG00000111665",2
"ENSG00000111666",2
"ENSG00000111667",1
"ENSG00000111669",3
"ENSG00000111670",2
"ENSG00000111671",2
"ENSG00000111674",3
"ENSG00000111676",3
"ENSG00000111678",1
"ENSG00000111679",2
"ENSG00000111684",2
"ENSG00000111696",2
"ENSG00000111700",2
"ENSG00000111701",2
"ENSG00000111704",2
"ENSG00000111707",2
"ENSG00000111711",2
"ENSG00000111713",2
"ENSG00000111716",3
"ENSG00000111725",2
"ENSG00000111726",1
"ENSG00000111727",2
"ENSG00000111728",2
"ENSG00000111729",2
"ENSG00000111731",1
"ENSG00000111732",2
"ENSG00000111737",2
"ENSG00000111752",2
"ENSG00000111775",3
"ENSG00000111783",2
"ENSG00000111785",2
"ENSG00000111786",1
"ENSG00000111790",1
"ENSG00000111796",2
"ENSG00000111799",1
"ENSG00000111801",2
"ENSG00000111802",1
"ENSG00000111816",2
"ENSG00000111817",2
"ENSG00000111832",2
"ENSG00000111834",2
"ENSG00000111837",2
"ENSG00000111843",3
"ENSG00000111845",2
"ENSG00000111846",2
"ENSG00000111850",2
"ENSG00000111859",2
"ENSG00000111860",2
"ENSG00000111863",2
"ENSG00000111875",2
"ENSG00000111877",2
"ENSG00000111879",2
"ENSG00000111880",2
"ENSG00000111885",1
"ENSG00000111886",2
"ENSG00000111897",3
"ENSG00000111906",2
"ENSG00000111907",2
"ENSG00000111911",1
"ENSG00000111912",2
"ENSG00000111913",2
"ENSG00000111961",2
"ENSG00000111962",2
"ENSG00000111981",2
"ENSG00000112029",2
"ENSG00000112031",2
"ENSG00000112033",2
"ENSG00000112038",2
"ENSG00000112039",2
"ENSG00000112041",2
"ENSG00000112053",2
"ENSG00000112062",2
"ENSG00000112077",1
"ENSG00000112078",1
"ENSG00000112079",1
"ENSG00000112081",3
"ENSG00000112096",2
"ENSG00000112110",1
"ENSG00000112115",2
"ENSG00000112116",2
"ENSG00000112118",1
"ENSG00000112130",2
"ENSG00000112137",2
"ENSG00000112139",2
"ENSG00000112144",2
"ENSG00000112146",1
"ENSG00000112149",2
"ENSG00000112159",2
"ENSG00000112164",2
"ENSG00000112167",2
"ENSG00000112175",1
"ENSG00000112182",2
"ENSG00000112183",3
"ENSG00000112186",1
"ENSG00000112195",2
"ENSG00000112200",2
"ENSG00000112208",2
"ENSG00000112210",2
"ENSG00000112212",1
"ENSG00000112214",2
"ENSG00000112218",2
"ENSG00000112232",2
"ENSG00000112234",2
"ENSG00000112237",2
"ENSG00000112238",2
"ENSG00000112242",2
"ENSG00000112245",1
"ENSG00000112246",2
"ENSG00000112249",2
"ENSG00000112273",2
"ENSG00000112276",1
"ENSG00000112280",2
"ENSG00000112282",2
"ENSG00000112290",1
"ENSG00000112293",2
"ENSG00000112294",2
"ENSG00000112297",2
"ENSG00000112299",2
"ENSG00000112303",2
"ENSG00000112304",2
"ENSG00000112305",1
"ENSG00000112306",4
"ENSG00000112308",1
"ENSG00000112309",2
"ENSG00000112312",1
"ENSG00000112319",2
"ENSG00000112320",2
"ENSG00000112333",2
"ENSG00000112335",3
"ENSG00000112337",2
"ENSG00000112339",2
"ENSG00000112343",2
"ENSG00000112357",2
"ENSG00000112365",2
"ENSG00000112367",2
"ENSG00000112378",1
"ENSG00000112379",2
"ENSG00000112394",2
"ENSG00000112406",2
"ENSG00000112414",2
"ENSG00000112419",2
"ENSG00000112425",2
"ENSG00000112462",2
"ENSG00000112473",1
"ENSG00000112486",2
"ENSG00000112494",2
"ENSG00000112499",2
"ENSG00000112511",1
"ENSG00000112514",1
"ENSG00000112530",2
"ENSG00000112539",2
"ENSG00000112541",2
"ENSG00000112559",2
"ENSG00000112561",2
"ENSG00000112562",2
"ENSG00000112576",1
"ENSG00000112578",2
"ENSG00000112584",2
"ENSG00000112592",2
"ENSG00000112599",2
"ENSG00000112619",2
"ENSG00000112624",2
"ENSG00000112640",1
"ENSG00000112651",1
"ENSG00000112655",1
"ENSG00000112658",1
"ENSG00000112659",2
"ENSG00000112667",2
"ENSG00000112679",2
"ENSG00000112685",2
"ENSG00000112695",3
"ENSG00000112697",1
"ENSG00000112699",2
"ENSG00000112701",2
"ENSG00000112706",2
"ENSG00000112715",1
"ENSG00000112739",1
"ENSG00000112742",2
"ENSG00000112759",3
"ENSG00000112761",2
"ENSG00000112763",2
"ENSG00000112769",1
"ENSG00000112773",2
"ENSG00000112782",2
"ENSG00000112787",2
"ENSG00000112796",2
"ENSG00000112799",2
"ENSG00000112812",2
"ENSG00000112818",2
"ENSG00000112837",2
"ENSG00000112851",2
"ENSG00000112855",2
"ENSG00000112874",2
"ENSG00000112877",2
"ENSG00000112893",2
"ENSG00000112902",2
"ENSG00000112936",3
"ENSG00000112941",2
"ENSG00000112964",2
"ENSG00000112972",3
"ENSG00000112977",1
"ENSG00000112981",2
"ENSG00000112983",1
"ENSG00000112984",1
"ENSG00000112992",1
"ENSG00000112996",2
"ENSG00000113013",3
"ENSG00000113048",2
"ENSG00000113068",1
"ENSG00000113070",2
"ENSG00000113073",1
"ENSG00000113083",2
"ENSG00000113088",2
"ENSG00000113100",2
"ENSG00000113108",2
"ENSG00000113119",2
"ENSG00000113140",3
"ENSG00000113141",1
"ENSG00000113161",1
"ENSG00000113163",2
"ENSG00000113194",2
"ENSG00000113196",2
"ENSG00000113231",2
"ENSG00000113240",2
"ENSG00000113249",2
"ENSG00000113262",2
"ENSG00000113263",2
"ENSG00000113269",2
"ENSG00000113272",2
"ENSG00000113273",2
"ENSG00000113282",1
"ENSG00000113296",2
"ENSG00000113300",1
"ENSG00000113302",2
"ENSG00000113303",2
"ENSG00000113312",1
"ENSG00000113318",2
"ENSG00000113319",2
"ENSG00000113327",1
"ENSG00000113328",1
"ENSG00000113356",2
"ENSG00000113360",2
"ENSG00000113361",2
"ENSG00000113368",1
"ENSG00000113369",1
"ENSG00000113384",1
"ENSG00000113387",1
"ENSG00000113389",2
"ENSG00000113391",2
"ENSG00000113396",1
"ENSG00000113407",1
"ENSG00000113430",2
"ENSG00000113441",2
"ENSG00000113448",2
"ENSG00000113456",2
"ENSG00000113460",2
"ENSG00000113492",2
"ENSG00000113494",2
"ENSG00000113504",1
"ENSG00000113520",2
"ENSG00000113522",2
"ENSG00000113525",2
"ENSG00000113532",2
"ENSG00000113552",2
"ENSG00000113555",2
"ENSG00000113558",1
"ENSG00000113569",2
"ENSG00000113575",1
"ENSG00000113578",2
"ENSG00000113580",2
"ENSG00000113583",1
"ENSG00000113593",2
"ENSG00000113594",2
"ENSG00000113595",2
"ENSG00000113597",2
"ENSG00000113600",3
"ENSG00000113615",2
"ENSG00000113621",2
"ENSG00000113638",2
"ENSG00000113643",1
"ENSG00000113645",2
"ENSG00000113648",1
"ENSG00000113649",2
"ENSG00000113657",3
"ENSG00000113658",2
"ENSG00000113712",2
"ENSG00000113716",2
"ENSG00000113719",2
"ENSG00000113721",1
"ENSG00000113722",2
"ENSG00000113732",1
"ENSG00000113734",2
"ENSG00000113739",2
"ENSG00000113742",1
"ENSG00000113749",2
"ENSG00000113758",1
"ENSG00000113761",2
"ENSG00000113763",2
"ENSG00000113790",1
"ENSG00000113805",2
"ENSG00000113810",1
"ENSG00000113811",1
"ENSG00000113812",2
"ENSG00000113838",2
"ENSG00000113845",1
"ENSG00000113851",2
"ENSG00000113889",3
"ENSG00000113905",3
"ENSG00000113916",2
"ENSG00000113924",3
"ENSG00000113946",2
"ENSG00000113966",2
"ENSG00000113971",2
"ENSG00000114013",2
"ENSG00000114019",2
"ENSG00000114021",2
"ENSG00000114023",1
"ENSG00000114026",2
"ENSG00000114030",2
"ENSG00000114054",2
"ENSG00000114062",1
"ENSG00000114098",2
"ENSG00000114107",2
"ENSG00000114113",1
"ENSG00000114115",1
"ENSG00000114120",1
"ENSG00000114124",2
"ENSG00000114125",1
"ENSG00000114126",2
"ENSG00000114127",2
"ENSG00000114166",1
"ENSG00000114200",2
"ENSG00000114204",2
"ENSG00000114209",1
"ENSG00000114248",2
"ENSG00000114251",1
"ENSG00000114268",2
"ENSG00000114270",2
"ENSG00000114279",1
"ENSG00000114302",2
"ENSG00000114315",1
"ENSG00000114316",2
"ENSG00000114331",2
"ENSG00000114346",2
"ENSG00000114349",2
"ENSG00000114353",1
"ENSG00000114354",1
"ENSG00000114374",2
"ENSG00000114378",1
"ENSG00000114383",2
"ENSG00000114388",2
"ENSG00000114391",3
"ENSG00000114395",2
"ENSG00000114405",2
"ENSG00000114416",1
"ENSG00000114423",2
"ENSG00000114439",2
"ENSG00000114446",2
"ENSG00000114450",2
"ENSG00000114455",2
"ENSG00000114473",2
"ENSG00000114480",2
"ENSG00000114487",2
"ENSG00000114491",2
"ENSG00000114503",1
"ENSG00000114520",1
"ENSG00000114529",2
"ENSG00000114541",2
"ENSG00000114544",2
"ENSG00000114547",2
"ENSG00000114554",2
"ENSG00000114573",1
"ENSG00000114626",2
"ENSG00000114631",1
"ENSG00000114638",2
"ENSG00000114646",1
"ENSG00000114648",2
"ENSG00000114650",1
"ENSG00000114654",2
"ENSG00000114656",2
"ENSG00000114670",2
"ENSG00000114686",1
"ENSG00000114698",2
"ENSG00000114735",2
"ENSG00000114737",2
"ENSG00000114738",1
"ENSG00000114739",2
"ENSG00000114742",2
"ENSG00000114744",2
"ENSG00000114745",2
"ENSG00000114757",2
"ENSG00000114767",2
"ENSG00000114770",2
"ENSG00000114771",3
"ENSG00000114779",2
"ENSG00000114784",3
"ENSG00000114790",2
"ENSG00000114796",1
"ENSG00000114805",2
"ENSG00000114812",2
"ENSG00000114841",2
"ENSG00000114850",1
"ENSG00000114853",2
"ENSG00000114854",4
"ENSG00000114857",2
"ENSG00000114859",2
"ENSG00000114861",2
"ENSG00000114867",1
"ENSG00000114902",1
"ENSG00000114904",2
"ENSG00000114923",1
"ENSG00000114933",2
"ENSG00000114942",3
"ENSG00000114948",1
"ENSG00000114956",1
"ENSG00000114978",1
"ENSG00000114982",2
"ENSG00000114988",2
"ENSG00000114993",2
"ENSG00000114999",2
"ENSG00000115008",2
"ENSG00000115009",2
"ENSG00000115020",2
"ENSG00000115041",2
"ENSG00000115042",2
"ENSG00000115053",3
"ENSG00000115073",1
"ENSG00000115084",2
"ENSG00000115085",2
"ENSG00000115091",2
"ENSG00000115107",2
"ENSG00000115109",2
"ENSG00000115112",2
"ENSG00000115128",3
"ENSG00000115129",2
"ENSG00000115137",2
"ENSG00000115138",2
"ENSG00000115145",2
"ENSG00000115155",2
"ENSG00000115159",2
"ENSG00000115163",2
"ENSG00000115165",2
"ENSG00000115170",2
"ENSG00000115183",2
"ENSG00000115194",2
"ENSG00000115204",2
"ENSG00000115207",2
"ENSG00000115211",2
"ENSG00000115216",1
"ENSG00000115221",2
"ENSG00000115226",1
"ENSG00000115232",2
"ENSG00000115233",2
"ENSG00000115234",1
"ENSG00000115239",2
"ENSG00000115241",2
"ENSG00000115252",2
"ENSG00000115255",2
"ENSG00000115257",2
"ENSG00000115263",2
"ENSG00000115266",1
"ENSG00000115267",2
"ENSG00000115268",3
"ENSG00000115271",2
"ENSG00000115274",2
"ENSG00000115275",1
"ENSG00000115282",2
"ENSG00000115286",1
"ENSG00000115289",2
"ENSG00000115290",2
"ENSG00000115295",2
"ENSG00000115297",2
"ENSG00000115306",1
"ENSG00000115307",1
"ENSG00000115310",3
"ENSG00000115317",1
"ENSG00000115318",2
"ENSG00000115325",2
"ENSG00000115339",2
"ENSG00000115350",2
"ENSG00000115353",2
"ENSG00000115355",1
"ENSG00000115361",2
"ENSG00000115363",2
"ENSG00000115364",2
"ENSG00000115365",1
"ENSG00000115368",2
"ENSG00000115380",1
"ENSG00000115386",2
"ENSG00000115392",1
"ENSG00000115414",3
"ENSG00000115415",2
"ENSG00000115419",1
"ENSG00000115421",2
"ENSG00000115423",2
"ENSG00000115425",2
"ENSG00000115446",2
"ENSG00000115457",1
"ENSG00000115459",2
"ENSG00000115461",3
"ENSG00000115464",2
"ENSG00000115468",1
"ENSG00000115474",2
"ENSG00000115484",3
"ENSG00000115486",2
"ENSG00000115488",2
"ENSG00000115504",2
"ENSG00000115507",2
"ENSG00000115514",2
"ENSG00000115520",2
"ENSG00000115523",2
"ENSG00000115524",3
"ENSG00000115525",2
"ENSG00000115526",2
"ENSG00000115539",2
"ENSG00000115540",2
"ENSG00000115541",1
"ENSG00000115548",2
"ENSG00000115556",2
"ENSG00000115561",2
"ENSG00000115568",2
"ENSG00000115590",2
"ENSG00000115592",2
"ENSG00000115593",3
"ENSG00000115594",2
"ENSG00000115596",1
"ENSG00000115598",2
"ENSG00000115602",2
"ENSG00000115604",2
"ENSG00000115607",2
"ENSG00000115616",2
"ENSG00000115641",3
"ENSG00000115648",2
"ENSG00000115649",1
"ENSG00000115652",2
"ENSG00000115657",2
"ENSG00000115661",2
"ENSG00000115665",2
"ENSG00000115677",1
"ENSG00000115685",2
"ENSG00000115687",2
"ENSG00000115694",1
"ENSG00000115705",2
"ENSG00000115718",1
"ENSG00000115738",3
"ENSG00000115750",2
"ENSG00000115756",1
"ENSG00000115758",3
"ENSG00000115760",2
"ENSG00000115761",2
"ENSG00000115762",1
"ENSG00000115806",2
"ENSG00000115808",2
"ENSG00000115816",1
"ENSG00000115825",2
"ENSG00000115827",2
"ENSG00000115828",2
"ENSG00000115839",2
"ENSG00000115840",1
"ENSG00000115841",2
"ENSG00000115844",2
"ENSG00000115850",2
"ENSG00000115866",1
"ENSG00000115875",1
"ENSG00000115884",1
"ENSG00000115896",2
"ENSG00000115902",2
"ENSG00000115904",2
"ENSG00000115919",2
"ENSG00000115935",2
"ENSG00000115942",2
"ENSG00000115944",1
"ENSG00000115946",2
"ENSG00000115947",2
"ENSG00000115956",2
"ENSG00000115963",1
"ENSG00000115966",1
"ENSG00000115970",2
"ENSG00000115977",2
"ENSG00000115993",1
"ENSG00000115998",2
"ENSG00000116001",1
"ENSG00000116005",2
"ENSG00000116014",2
"ENSG00000116016",1
"ENSG00000116017",2
"ENSG00000116030",3
"ENSG00000116031",2
"ENSG00000116032",2
"ENSG00000116035",2
"ENSG00000116039",1
"ENSG00000116044",2
"ENSG00000116062",2
"ENSG00000116095",2
"ENSG00000116096",2
"ENSG00000116106",2
"ENSG00000116117",2
"ENSG00000116120",1
"ENSG00000116127",2
"ENSG00000116128",1
"ENSG00000116132",2
"ENSG00000116133",3
"ENSG00000116138",2
"ENSG00000116141",2
"ENSG00000116147",2
"ENSG00000116151",2
"ENSG00000116157",1
"ENSG00000116161",1
"ENSG00000116171",1
